kmeans_cluster,cluster_name,coin_count,avg_daily_return_mean,avg_daily_return_std,volatility_mean,volatility_std,sharpe_ratio_mean,sharpe_ratio_std,btc_correlation_mean,btc_correlation_std,avg_market_cap_mean,avg_market_cap_median
0,High Risk/High Return,1378,0.03121551000677001,0.14390442794587863,0.5715377923611711,3.2589851408042736,0.029273709721329727,0.0657613355775665,0.2737596661350687,0.1701048613502849,102063283.64819644,3185230.230133118
1,Stable Performers,1,0.11901149928463264,,1.3374985007933156,,0.08898065995142641,,0.04321432519616632,,237271.25490196078,237271.25490196078
2,Bitcoin Followers,1,45.88084165573615,,1251.922490588262,,0.03664830850205218,,0.009211923530917722,,192490.31184210526,192490.31184210526
3,Volatile Altcoins,1,127.89583097854482,,2969.193600573527,,0.043074264660223086,,-0.09113220307250451,,234702346.38961038,234702346.38961038
4,Low Activity Coins,2,40.70142610433501,17.68859869283113,961.0461464788317,367.4332934860212,0.04189464294806143,0.0023881392828149217,0.014335235538894308,0.004060538237207959,1220538.464630225,1220538.464630225
